Scan:     14          NGC1052 2005-12-20 +01 52 39.0
          RADIO                  Jy    
        km/s-LSR                 I
    2807.2222133050795492      7.8609376
    2806.8930038702555976    -13.5444365
    2806.5637944353989042    -12.4540348
    2806.2345850005426655    -10.8732033
    2805.9053755657519105     -8.0944414
    2805.5761661308952171      1.2116640
    2805.2469566960717202      1.2508551
    2804.9177472612150268      1.2353194
    2804.5885378263578787      1.2183295
    2804.2593283915343818      1.2394087
    2803.9301189567440815      1.2610850
    2803.6009095218873881      1.2501872
    2803.2717000870302400      1.2368021
    2802.9424906522071979      1.2438414
    2802.6132812173500497      1.2474045
    2802.2840717824933563      1.2491864
    2801.9548623477035107      1.2499205
    2801.6256529128463626      1.2500013
    2801.2964434780228657      1.2519126
    2800.9672340431661723      1.2384975
    2800.6380246083094789      1.2280082
    2800.3088151734859821      1.2367104
    2799.9796057386952270      1.2460132
    2799.6503963038385336      1.2432644
    2799.3211868689818402      1.2384121
    2798.9919774341583434      1.2449628
    2798.6627679993016500      1.2525926
    2798.3335585644445018      1.2446042
    2798.0043491296546563      1.2342027
    2797.6751396947979629      1.2363309
    2797.3459302599740113      1.2394810
    2797.0167208251168631      1.2406640
    2796.6875113902606245      1.2420355
    2796.3583019554366729      1.2412750
    2796.0290925206468273      1.2414415
    2795.6998830857896792      1.2408484
    2795.3706736509329858      1.2422402
    2795.0414642161094889      1.2465521
    2794.7122547812527955      1.2512376
    2794.3830453463961021      1.2545822
    2794.0538359116053471      1.2548410
    2793.7246264767486537      1.2578559
    2793.3954170419251568      1.2606394
    2793.0662076070684634      1.2561300
    2792.7369981722113153      1.2529923
    2792.4077887373878184      1.2522349
    2792.0785793025979729      1.2489535
    2791.7493698677412794      1.2508683
    2791.4201604328841313      1.2540152
    2791.0909509980610892      1.2537134
    2790.7617415632039410      1.2528241
    2790.4325321283472476      1.2503594
    2790.1033226935564926      1.2503189
    2789.7741132586997992      1.2525930
    2789.4449038238763023      1.2539618
    2789.1156943890196089      1.2539723
    2788.7864849541629155      1.2553837
    2788.4572755193394187      1.2586988
    2788.1280660845486636      1.2568896
    2787.7988566496919702      1.2527891
    2787.4696472148357316      1.2530673
    2787.1404377800117800      1.2561531
    2786.8112283451550866      1.2580756
    2786.4820189102979384      1.2585270
    2786.1528094755080929      1.2578996
    2785.8236000406509447      1.2588264
    2785.4943906058279026      1.2609035
    2785.1651811709707545      1.2589836
    2784.8359717361140611      1.2580788
    2784.5067623012905642      1.2602586
    2784.1775528665002639      1.2616061
    2783.8483434316431158      1.2618934
    2783.5191339967864224      1.2614988
    2783.1899245619629255      1.2601787
    2782.8607151271062321      1.2597480
    2782.5315056922490839      1.2605125
    2782.2022962574592384      1.2606621
    2781.8730868226025450      1.2617240
    2781.5438773877790481      1.2646359
    2781.2146679529223547      1.2653754
    2780.8854585180652066      1.2620305
    2780.5562490832412550      1.2585073
    2780.2270396484514094      1.2573677
    2779.8978302135947160      1.2579936
    2779.5686207787375679      1.2590770
    2779.2394113439140710      1.2603537
    2778.9102019090573776      1.2615601
    2778.5809924742006842      1.2624961
    2778.2517830394099292      1.2633406
    2777.9225736045536905      1.2652608
    2777.5933641697297389      1.2664353
    2777.2641547348730455      1.2640766
    2776.9349453000163521      1.2629657
    2776.6057358651928553      1.2644281
    2776.2765264304025550      1.2646134
    2775.9473169955458616      1.2640241
    2775.6181075606891682      1.2629073
    2775.2888981258656713      1.2625970
    2774.9596886910085232      1.2632483
    2774.6304792561518298      1.2618788
    2774.3012698213615295      1.2604164
    2773.9720603865043813      1.2612454
    2773.6428509516813392      1.2636150
    2773.3136415168241911      1.2653930
    2772.9844320819674977      1.2657800
    2772.6552226471440008      1.2659966
    2772.3260132123537005      1.2664727
    2771.9968037774970071      1.2653769
    2771.6675943426403137      1.2636397
    2771.3383849078163621      1.2648476
    2771.0091754729596687      1.2672911
    2770.6799660381029753      1.2692056
    2770.3507566033126750      1.2689298
    2770.0215471684559816      1.2668169
    2769.6923377336324847      1.2672420
    2769.3631282987757913      1.2681233
    2769.0339188639186432      1.2665941
    2768.7047094290951463      1.2657274
    2768.3754999942384529      1.2688060
    2768.0462905594481526      1.2695144
    2767.7170811245910045      1.2636058
    2767.3878716897675076      1.2564703
    2767.0586622549108142      1.2696627
    2766.7294528200541208      1.2926469
    2766.4002433852306240      1.2817602
    2766.0710339504071271      1.2611949
    2765.7418245155836303      1.2585721
