Scan:     20          NGC1052 2005-12-07 +01 09 00.0
          RADIO                  Jy    
        km/s-LSR                 I
    2807.2022502151462504     12.3313046
    2806.8730457056367413    -18.7952843
    2806.5438411961613383    -17.5099583
    2806.2146366866518292    -15.5398312
    2805.8854321771427749    -11.8652105
    2805.5562276676669171      1.2981750
    2805.2270231581578628      1.3412898
    2804.8978186486820050      1.3224397
    2804.5686141391724959      1.3054981
    2804.2394096296634416      1.3322128
    2803.9102051201875838      1.3584493
    2803.5810006106785295      1.3431451
    2803.2517961012026717      1.3287247
    2802.9225915916936174      1.3431740
    2802.5933870821509117      1.3498688
    2802.2641825727082505      1.3519107
    2801.9349780631991962      1.3565613
    2801.6057735537233384      1.3599919
    2801.2765690442142841      1.3640871
    2800.9473645346720332      1.3508376
    2800.6181600252293720      1.3382612
    2800.2889555157198629      1.3516138
    2799.9597510062440051      1.3622650
    2799.6305464967349508      1.3479055
    2799.3013419872590930      1.3355336
    2798.9721374777500387      1.3423462
    2798.6429329682405296      1.3527036
    2798.3137284587651266      1.3491904
    2797.9845239492556175      1.3366978
    2797.6553194397797597      1.3360137
    2797.3261149302707054      1.3443271
    2796.9969104207616510      1.3458084
    2796.6677059112857933      1.3403804
    2796.3385014017762842      1.3410707
    2796.0092968923008812      1.3461125
    2795.6800923827913721      1.3445151
    2795.3508878732491212      1.3453943
    2795.0216833638064600      1.3525707
    2794.6924788542974056      1.3585798
    2794.3632743448215479      1.3583727
    2794.0340698353120388      1.3556232
    2793.7048653257697879      1.3601664
    2793.3756608163271267      1.3640267
    2793.0464563068180723      1.3571723
    2792.7172517973422146      1.3507223
    2792.3880472878331602      1.3504174
    2792.0588427782904546      1.3482053
    2791.7296382688477934      1.3478975
    2791.4004337593387390      1.3485006
    2791.0712292498628813      1.3505864
    2790.7420247403538269      1.3566723
    2790.4128202308779692      1.3548926
    2790.0836157213689148      1.3520517
    2789.7544112118262092      1.3565449
    2789.4252067023835480      1.3595338
    2789.0960021928744936      1.3569177
    2788.7667976833986359      1.3527241
    2788.4375931738895815      1.3517884
    2788.1083886643473306      1.3543648
    2787.7791841549046694      1.3548068
    2787.4499796453951603      1.3510500
    2787.1207751359193026      1.3497759
    2786.7915706264102482      1.3530511
    2786.4623661168679973      1.3571613
    2786.1331616074253361      1.3590803
    2785.8039570979158270      1.3605045
    2785.4747525884404240      1.3606765
    2785.1455480789309149      1.3568491
    2784.8163435693886640      1.3564686
    2784.4871390599460028      1.3593997
    2784.1579345504364937      1.3570455
    2783.8287300409610907      1.3527935
    2783.4995255314515816      1.3529876
    2783.1703210219093307      1.3575068
    2782.8411165124666695      1.3609444
    2782.5119120029244186      1.3598714
    2782.1827074934817574      1.3588684
    2781.8535029839722483      1.3593535
    2781.5242984744968453      1.3589474
    2781.1950939649873362      1.3577054
    2780.8658894554450853      1.3587041
    2780.5366849460024241      1.3587835
    2780.2074804364933698      1.3548151
    2779.8782759270175120      1.3536533
    2779.5490714175080029      1.3564639
    2779.2198669079657520      1.3587298
    2778.8906623985230908      1.3590494
    2778.5614578890140365      1.3591703
    2778.2322533795381787      1.3600961
    2777.9030488700291244      1.3613992
    2777.5738443604864187      1.3622369
    2777.2446398510437575      1.3595777
    2776.9154353415347032      1.3566010
    2776.5862308320588454      1.3574878
    2776.2570263225497911      1.3604882
    2775.9278218130075402      1.3630199
    2775.5986173035648790      1.3633357
    2775.2694127940221733      1.3641452
    2774.9402082845795121      1.3654569
    2774.6110037750704578      1.3642744
    2774.2817992655282069      1.3618088
