Scan:     14          NGC1052 2006-01-13 +00 33 41.0
          RADIO                  Jy    
        km/s-LSR                 I
    2182.8947263660693352      1.1803335
    2182.5655115831955300      1.0651441
    2182.2362968003553760      1.2969619
    2181.9070820174815708      1.2252785
    2181.5778672346418716      1.0180249
    2181.2486524518344595      1.1216701
    2180.9194376689947603      1.1830415
    2180.5902228861541516      1.1381480
    2180.2610081032808012      1.0990413
    2179.9317933204401925      1.1374043
    2179.6025785376336898      1.1851579
    2179.2733637547930812      1.1520770
    2178.9441489719197307      1.1137543
    2178.6149341890791220      1.1559116
    2178.2857194062394228      1.1440655
    2177.9565046233656176      1.1626292
    2177.6272898405918568      1.1606524
    2177.2980750577185063      1.1407493
    2176.9688602748783524      1.1743779
    2176.6396454920045471      1.1462592
    2176.3104307091643932      1.1306682
    2175.9812159263574358      1.1569327
    2175.6520011435172819      1.1644922
    2175.3227863606766732      1.1555477
    2174.9935715778033227      1.1361358
    2174.6643567949631688      1.1505717
    2174.3351420121230149      1.1711783
    2174.0059272293160575      1.1458246
    2173.6767124464422523      1.1319839
    2173.3474976636020983      1.1511450
    2173.0182828807619444      1.1443770
    2172.6890680978885939      1.1455997
    2172.3598533151148331      1.1485835
    2172.0306385322414826      1.1379722
    2171.7014237494008739      1.1582376
    2171.3722089665275234      1.1416206
    2171.0429941836869148      1.1373709
    2170.7137794008467608      1.1619542
    2170.3845646180398035      1.1674296
    2170.0553498351996495      1.1605316
    2169.7261350523262990      1.1529630
    2169.3969202694861451      1.1671636
    2169.0677054866459912      1.1580248
    2168.7384907037721860      1.1598922
    2168.4092759209652286      1.1529099
    2168.0800611381250746      1.1597624
    2167.7508463552844660      1.1536903
    2167.4216315724115702      1.1578083
    2167.0924167895709616      1.1570070
    2166.7632020067640042      1.1533235
    2166.4339872239238503      1.1675553
    2166.1047724410500450      1.1619030
    2165.7755576582098911      1.1451654
    2165.4463428753697372      1.1553954
    2165.1171280924963867      1.1582683
    2164.7879133097226259      1.1522346
    2164.4586985268488206      1.1547698
    2164.1294837440091214      1.1517390
    2163.8002689611685128      1.1595372
    2163.4710541782951623      1.1662542
    2163.1418393954882049      1.1474804
    2162.8126246126475962      1.1653392
    2162.4834098298074423      1.1610962
    2162.1541950469336371      1.1645862
    2161.8249802640939379      1.1651645
    2161.4957654812537839      1.1634200
    2161.1665506984463718      1.1669942
    2160.8373359155730213      1.1679362
    2160.5081211327328674      1.1608917
    2160.1789063498927135      1.1591548
    2159.8496915670189082      1.1694757
    2159.5204767842451474      1.1689963
    2159.1912620013717969      1.1601492
    2158.8620472185311883      1.1624377
    2158.5328324356914891      1.1685498
    2158.2036176528176838      1.1697292
    2157.8744028699775299      1.1570659
    2157.5451880871705725      1.1595722
    2157.2159733043304186      1.1618642
    2156.8867585214566134      1.1634676
    2156.5575437386164594      1.1576707
    2156.2283289557763055      1.1566434
    2155.8991141729693481      1.1598331
    2155.5698993901287395      1.1623625
    2155.2406846072558437      1.1570462
    2154.9114698244152351      1.1666795
    2154.5822550415418846      1.1651829
    2154.2530402587012759      1.1605809
    2153.9238254758943185      1.1615641
    2153.5946106930541646      1.1668366
    2153.2653959102140107      1.1683619
    2152.9361811273406602      1.1612046
    2152.6069663445005062      1.1620836
    2152.2777515616935489      1.1660547
    2151.9485367788533949      1.1710896
    2151.6193219959795897      1.1619594
    2151.2901072131394358      1.1681699
    2150.9608924302988271      1.1703774
    2150.6316776474254766      1.1612176
    2150.3024628646517158      1.1731495
    2149.9732480817783653      1.1634061
    2149.6440332989382114      1.1685773
    2149.3148185160644061      1.1626058
    2148.9856037332242522      1.1657045
    2148.6563889504172948      1.1662496
    2148.3271741675771409      1.1619993
    2147.9979593847369870      1.1648198
    2147.6687446018636365      1.1706104
    2147.3395298190230278      1.1703298
    2147.0103150361828739      1.1698604
    2146.6811002533759165      1.1661880
    2146.3518854705025660      1.1717752
    2146.0226706876619573      1.1668938
    2145.6934559048218034      1.1621698
    2145.3642411219484529      1.1681451
    2145.0350263391082990      1.1609401
    2144.7058115563008869      1.1637503
    2144.3765967734611877      1.1630330
    2144.0473819905873825      1.1651719
    2143.7181672077472285      1.1885755
    2143.3889524249066199      1.1616338
    2143.0597376421001172      1.1569458
    2142.7305228592595086      1.1551088
    2142.4013080763861581      1.2411370
    2142.0720932935455494      1.1547309
    2141.7428785107058502      1.1581086
    2141.4136637278320450      1.1573722
    2141.0844489450250876      1.1581463
    2140.7552341621849337      1.1705302
    2140.4260193793447797      1.1693493
    2140.0968045964709745      1.1692733
    2139.7675898136308206      1.1705555
    2139.4383750308238632      1.1666460
    2139.1091602479837093      1.1671659
    2138.7799454651103588      1.1684253
    2138.4507306822697501      1.1657444
    2138.1215158994295962      1.1685356
    2137.7923011165557909      1.1706176
    2137.4630863337824849      1.1686445
    2137.1338715509086796      1.1669092
    2136.8046567680685257      1.1666261
    2136.4754419852283718      1.1689440
    2136.1462272023550213      1.1728691
    2135.8170124195480639      1.1670541
    2135.4877976367079100      1.1707234
    2135.1585828538673013      1.1673257
    2134.8293680709939508      1.1721857
    2134.5001532881533421      1.1735525
    2134.1709385053131882      1.1662034
    2133.8417237225062308      1.1703503
    2133.5125089396328804      1.1685126
    2133.1832941567927264      1.1722600
    2132.8540793739525725      1.1705928
    2132.5248645910787673      1.1734767
    2132.1956498083054612      1.1721250
    2131.8664350254316560      1.1704317
    2131.5372202425915020      1.1673237
    2131.2080054597508934      1.1692508
    2130.8787906768779976      1.1657437
    2130.5495758940373889      1.1705536
    2130.2203611112308863      1.1685085
    2129.8911463283902776      1.1736985
    2129.5619315455164724      1.1653939
    2129.2327167626763185      1.1767569
    2128.9035019798361645      1.1726913
    2128.5742871970292072      1.1714643
    2128.2450724141890532      1.1737249
    2127.9158576313157027      1.1738222
    2127.5866428484755488      1.1736525
    2127.2574280656017436      1.1785589
    2126.9282132827615897      1.1722924
    2126.5989984999546323      1.1777227
