Scan:     16          NGC1052 2005-11-28 +03 05 36.0
          RADIO                  Jy    
        km/s-LSR                 I
    2807.1870202328022970     24.7161293
    2806.8578194820156568    -33.0845490
    2806.5286187312622133    -30.8470097
    2806.1994179804755731    -27.4602623
    2805.8702172296889330    -21.1148491
    2805.5410164789350347      1.0069171
    2805.2118157281488493      1.0944483
    2804.8826149773949510      1.0676925
    2804.5534142266087656      1.0408400
    2804.2242134758221255      1.0817776
    2803.8950127251018785      1.1251545
    2803.5658119743147836      1.1023219
    2803.2366112235617948      1.0725921
    2802.9074104727746999      1.0880722
    2802.5782097219885145      1.0946971
    2802.2490089712346162      1.0994351
    2801.9198082204484308      1.1088970
    2801.5906074696617907      1.1172403
    2801.2614067189083471      1.1302503
    2800.9322059681217070      1.1058327
    2800.6030052173682634      1.0734659
    2800.2738044665816233      1.0856814
    2799.9446037157945284      1.1054610
    2799.6154029650742814      1.0966872
    2799.2862022142880960      1.0852275
    2798.9570014635341977      1.0973107
    2798.6278007127480123      1.1116906
    2798.2985999619613722      1.1019723
    2797.9693992112079286      1.0879911
    2797.6401984604208337      1.0882214
    2797.3109977096341936      1.0875202
    2796.9817969588807500      1.0855284
    2796.6525962080941099      1.0873929
    2796.3233954573406663      1.0943997
    2795.9941947065540262      1.1002818
    2795.6649939557678408      1.0929167
    2795.3357932050475938      1.0897282
    2795.0065924542604989      1.1023645
    2794.6773917034406622      1.1124595
    2794.3481909527204152      1.1093649
    2794.0189902019337751      1.1105257
    2793.6897894511803315      1.1252577
    2793.3605887003936914      1.1296221
    2793.0313879496075060      1.1134270
    2792.7021871988536077      1.1033353
    2792.3729864480674223      1.1096425
    2792.0437856973135240      1.1161336
    2791.7145849465273386      1.1196845
    2791.3853841957402437      1.1175865
    2791.0561834450199967      1.1153240
    2790.7269826942333566      1.1165086
    2790.3977819434135199      1.1113129
    2790.0685811926932729      1.1065320
    2789.7393804419070875      1.1082314
    2789.4101796911531892      1.1115817
    2789.0809789403665491      1.1112118
    2788.7517781895799089      1.1097831
    2788.4225774388264654      1.1127888
    2788.0933766880398252      1.1164050
    2787.7641759372863817      1.1144266
    2787.4349751864997415      1.1098710
