Scan:     24          NGC1052 2005-11-18 +04 18 23.0
          RADIO                  Jy    
        km/s-LSR                 I
    2801.8058804427191717      9.3494368
    2801.4766844024343300    -15.3137188
    2801.1474883620826404    -14.3076563
    2800.8182923217973439    -12.7616482
    2800.4890962814461091     -9.8115997
    2800.1599002411276160      1.3787264
    2799.8307042007763812      1.4278657
    2799.5015081604910847      1.4174373
    2799.1723121201393951      1.4053322
    2798.8431160797881603      1.4296809
    2798.5139200395028638      1.4531225
    2798.1847239991516290      1.4388740
    2797.8555279588331359      1.4219069
    2797.5263319184819011      1.4290589
    2797.1971358781970594      1.4336061
    2796.8679398378449150      1.4363089
    2796.5387437975600733      1.4442626
    2796.2095477572088384      1.4522766
    2795.8803517169235420      1.4557368
    2795.5511556765723071      1.4424813
    2795.2219596362538141      1.4294544
    2794.8927635959025793      1.4384197
    2794.5635675556172828      1.4483948
    2794.2343715152655932      1.4398510
    2793.9051754749807515      1.4325988
    2793.5759794346295166      1.4411567
    2793.2467833943110236      1.4482354
    2792.9175873539593340      1.4381508
    2792.5883913136744923      1.4259477
    2792.2591952733228027      1.4251388
    2791.9299992330375062      1.4285678
    2791.6008031926862714      1.4337881
    2791.2716071523677783      1.4370989
    2790.9424111120497400      1.4344995
    2790.6132150717317018      1.4296175
    2790.2840190313800122      1.4282262
    2789.9548229910951704      1.4340204
    2789.6256269507434808      1.4437894
    2789.2964309104581844      1.4492276
    2788.9672348701069495      1.4474593
    2788.6380388297884565      1.4456410
    2788.3088427894372217      1.4492910
    2787.9796467491519252      1.4559361
    2787.6504507088002356      1.4546582
    2787.3212546685158486      1.4460490
    2786.9920586281637043      1.4392074
    2786.6628625878456660      1.4345866
    2786.3336665474939764      1.4380258
    2786.0044705072091347      1.4446580
    2785.6752744668578998      1.4450586
    2785.3460784265726033      1.4418693
    2785.0168823862209138      1.4364767
    2784.6876863459028755      1.4364456
    2784.3584903055843824      1.4437654
    2784.0292942652663442      1.4463100
    2783.7000982249146546      1.4434649
    2783.3709021846298128      1.4411442
    2783.0417061442785780      1.4383349
    2782.7125101039932815      1.4384731
    2782.3833140636415919      1.4400162
    2782.0541180233235536      1.4386021
    2781.7249219829718641      1.4388407
    2781.3957259426865676      1.4391420
    2781.0665299023353327      1.4417322
    2780.7373338620504910      1.4490658
    2780.4081378216983467      1.4493257
    2780.0789417813807631      1.4438621
    2779.7497457410622701      1.4393816
    2779.4205497007437771      1.4392649
    2779.0913536603925422      1.4452378
    2778.7621576201072457      1.4480851
    2778.4329615797560109      1.4462199
    2778.1037655394711692      1.4448091
    2777.7745694991190248      1.4455098
    2777.4453734588009866      1.4457489
    2777.1161774184492970      1.4438192
    2776.7869813781644552      1.4443527
    2776.4577853378132204      1.4466844
    2776.1285892975279239      1.4484427
    2775.7993932571766891      1.4503787
    2775.4701972168581960      1.4493699
    2775.1410011765069612      1.4482138
    2774.8118051362216647      1.4501857
    2774.4826090958699751      1.4513215
    2774.1534130555851334      1.4512579
    2773.8242170152334438      1.4519203
    2773.4950209748817542      1.4513834
    2773.1658249345969125      1.4497139
    2772.8366288942452229      1.4497206
    2772.5074328539271846      1.4507231
    2772.1782368135754950      1.4513739
    2771.8490407732906533      1.4512293
    2771.5198447329394185      1.4491268
    2771.1906486926541220      1.4471534
    2770.8614526523024324      1.4499593
    2770.5322566119843941      1.4544746
    2770.2030605716327045      1.4547416
    2769.8738645313474080      1.4529511
    2769.5446684909961732      1.4518533
    2769.2154724507113315      1.4494306
    2768.8862764103600966      1.4489071
    2768.5570803700416036      1.4523169
    2768.2278843297231106      1.4529649
    2767.8986882894050723      1.4517893
    2767.5694922490533827      1.4518423
    2767.2402962087680862      1.4496176
    2766.9111001684168514      1.4488732
    2766.5819041281320096      1.4514906
    2766.2527080877798653      1.4522192
    2765.9235120474622818      1.4523988
    2765.5943160071101374      1.4537693
    2765.2651199668252957      1.4550610
    2764.9359239264740609      1.4546235
    2764.6067278861887644      1.4504310
    2764.2775318458375295      1.4463512
    2763.9483358055190365      1.4447672
    2763.6191397651678017      1.4445341
    2763.2899437248825052      1.4462628
    2762.9607476845308156      1.4544107
    2762.6315516442459739      1.4579890
    2762.3023556038942843      1.4494998
    2761.9731595636094426      1.4413760
    2761.6439635232582077      1.4511086
    2761.3147674829397147      1.4727025
    2760.9855714425880251      1.4676831
    2760.6563754023027286      1.4520723
    2760.3271793619514938      1.4489719
    2759.9979833216666520      1.4495057
    2759.6687872813149625      1.4541312
    2759.3395912409969242      1.4556204
    2759.0103952006452346      1.4544390
    2758.6811991603603929      1.4538330
    2758.3520031200087033      1.4542049
    2758.0228070797234068      1.4559240
    2757.6936110393721719      1.4575139
    2757.3644149990536789      1.4557923
    2757.0352189587356406      1.4518437
    2756.7060229184171476      1.4511374
    2756.3768268780659128      1.4532751
    2756.0476308377810710      1.4534719
    2755.7184347974289267      1.4527733
    2755.3892387571440850      1.4547113
    2755.0600427167928501      1.4553570
    2754.7308466764743571      1.4534726
    2754.4016506361231222      1.4518529
    2754.0724545958378258      1.4519061
    2753.7432585554861362      1.4530098
    2753.4140625152012944      1.4541547
    2753.0848664748496049      1.4548600
    2752.7556704345315666      1.4541539
    2752.4264743941798770      1.4534029
    2752.0972783538950353      1.4530772
    2751.7680823135438004      1.4515502
    2751.4388862732585039      1.4507222
    2751.1096902329068143      1.4526544
    2750.7804941925887761      1.4555147
    2750.4512981522702830      1.4566141
    2750.1221021119517900      1.4554447
    2749.7929060716005552      1.4562997
    2749.4637100313157134      1.4585057
    2749.1345139909640238      1.4565388
    2748.8053179506123342      1.4541255
    2748.4761219103274925      1.4544442
    2748.1469258699758029      1.4533446
    2747.8177298296577646      1.4520109
    2747.4885337893060751      1.4540796
    2747.1593377490212333      1.4546269
    2746.8301417086695437      1.4534708
    2746.5009456683842473      1.4550247
    2746.1717496280330124      1.4561225
    2745.8425535877145194      1.4570057
    2745.5133575473964811      1.4586195
    2745.1841615070784428      1.4577823
    2744.8549654667267532      1.4554766
    2744.5257694264419115      1.4557160
    2744.1965733860902219      1.4561163
    2743.8673773458049254      1.4543045
    2743.5381813054536906      1.4541643
    2743.2089852651351976      1.4549277
    2742.8797892247839627      1.4525346
    2742.5505931844986662      1.4511446
    2742.2213971441469766      1.4536259
    2741.8922011038625897      1.4545983
    2741.5630050635104453      1.4547724
    2741.2338090231924070      1.4545463
    2740.9046129828743688      1.4538674
    2740.5754169425558757      1.4548731
    2740.2462209022046409      1.4545076
    2739.9170248619193444      1.4534261
    2739.5878288215676548      1.4550692
    2739.2586327812828131      1.4577985
    2738.9294367409311235      1.4588066
    2738.6002407006126305      1.4594203
    2738.2710446602613956      1.4593771
    2737.9418486199765539      1.4577311
    2737.6126525796253190      1.4577658
    2737.2834565393400226      1.4586378
    2736.9542604989883330      1.4572914
    2736.6250644586702947      1.4555805
    2736.2958684183186051      1.4552183
    2735.9666723780333086      1.4554672
    2735.6374763376820738      1.4549403
    2735.3082802973972321      1.4533179
    2734.9790842570450877      1.4521664
    2734.6498882167275042      1.4541411
    2734.3206921764090112      1.4555706
    2733.9914961360905181      1.4538546
    2733.6623000957392833      1.4546541
    2733.3331040554539868      1.4584516
    2733.0039080151027520      1.4617431
    2732.6747119748179102      1.4604584
    2732.3455159344657659      1.4564639
    2732.0163198941477276      1.4539379
    2731.6871238537960380      1.4524633
    2731.3579278135111963      1.4527583
    2731.0287317731595067      1.4521942
    2730.6995357328746650      1.4514561
    2730.3703396925234301      1.4536746
    2730.0411436522049371      1.4553788
    2729.7119476118537023      1.4541484
    2729.3827515715684058      1.4541644
    2729.0535555312167162      1.4569979
    2728.7243594909318745      1.4574249
    2728.3951634505801849      1.4557886
    2728.0659674102953431      1.4564241
    2727.7367713699436536      1.4592406
    2727.4075753296256153      1.4587400
    2727.0783792892739257      1.4556154
    2726.7491832489886292      1.4571418
    2726.4199872086373944      1.4581450
    2726.0907911683525526      1.4560063
    2725.7615951280008630      1.4545414
    2725.4323990876823700      1.4523021
    2725.1032030473311352      1.4525441
    2724.7740070070462934      1.4552606
    2724.4448109666941491      1.4556701
    2724.1156149263429143      1.4555120
    2723.7864188860580725      1.4557047
    2723.4572228457063829      1.4540725
    2723.1280268054215412      1.4526294
    2722.7988307650698516      1.4530174
    2722.4696347247513586      1.4548646
    2722.1404386844001237      1.4556986
    2721.8112426441148273      1.4540001
    2721.4820466037635924      1.4547269
    2721.1528505634787507      1.4565470
    2720.8236545231266064      1.4559039
    2720.4944584828090228      1.4549611
    2720.1652624424568785      1.4542639
    2719.8360664021720368      1.4531668
    2719.5068703618208019      1.4522004
    2719.1776743215355054      1.4537371
    2718.8484782811842706      1.4550666
    2718.5192822408657776      1.4536988
    2718.1900862005472845      1.4527304
    2717.8608901602292462      1.4516279
    2717.5316941198775567      1.4506892
    2717.2024980795927149      1.4517128
    2716.8733020392410253      1.4534068
    2716.5441059989561836      1.4534632
    2716.2149099586049488      1.4509410
    2715.8857139182864557      1.4510647
    2715.5565178779347661      1.4548197
    2715.2273218376494697      1.4546980
    2714.8981257972982348      1.4516191
    2714.5689297570133931      1.4507449
    2714.2397337166617035      1.4530851
    2713.9105376763436652      1.4559327
    2713.5813416359919756      1.4551421
    2713.2521455957071339      1.4534938
    2712.9229495553554443      1.4527278
    2712.5937535150701478      1.4507908
    2712.2645574747189130      1.4499325
    2711.9353614344004200      1.4506854
    2711.6061653940823817      1.4520795
    2711.2769693537638886      1.4552509
    2710.9477733134126538      1.4564762
    2710.6185772731278121      1.4550492
    2710.2893812327756677      1.4551517
    2709.9601851924908260      1.4542822
    2709.6309891521395912      1.4516404
    2709.3017931118210981      1.4508566
    2708.9725970714698633      1.4533005
    2708.6434010311845668      1.4568231
    2708.3142049908328772      1.4553587
    2707.9850089505480355      1.4518061
    2707.6558129101963459      1.4527346
    2707.3266168698778529      1.4536831
    2706.9974208295602693      1.4516668
    2706.6682247892417763      1.4512058
    2706.3390287488905415      1.4523115
    2706.0098327086052450      1.4528250
    2705.6806366682535554      1.4550498
    2705.3514406279682589      1.4574506
    2705.0222445876170241      1.4565305
    2704.6930485472985310      1.4537134
    2704.3638525069472962      1.4528238
    2704.0346564666624545      1.4519506
    2703.7054604263107649      1.4502171
    2703.3762643860259232      1.4498076
    2703.0470683456742336      1.4513404
    2702.7178723053557405      1.4552076
    2702.3886762650045057      1.4574791
    2702.0594802247192092      1.4564506
    2701.7302841843679744      1.4529359
    2701.4010881440831326      1.4503181
    2701.0718921037309883      1.4519687
    2700.7426960634129500      1.4544101
    2700.4135000230949117      1.4555531
    2700.0843039827764187      1.4562321
    2699.7551079424247291      1.4557304
    2699.4259119021398874      1.4558288
    2699.0967158617886525      1.4563153
    2698.7675198214369630      1.4544978
    2698.4383237811516665      1.4527106
    2698.1091277408004316      1.4530835
    2697.7799317004819386      1.4551011
    2697.4507356601307038      1.4566678
    2697.1215396198454073      1.4541837
    2696.7923435794937177      1.4507058
    2696.4631475392093307      1.4511296
    2696.1339514988571864      1.4515696
    2695.8047554585391481      1.4510398
    2695.4755594182211098      1.4521512
    2695.1463633779026168      1.4523994
    2694.8171673375513819      1.4512922
    2694.4879712972660855      1.4520385
    2694.1587752569143959      1.4544578
    2693.8295792166295541      1.4547940
    2693.5003831762778645      1.4548239
    2693.1711871359593715      1.4569272
    2692.8419910956081367      1.4571427
    2692.5127950553232949      1.4540402
    2692.1835990149716054      1.4503479
    2691.8544029746867636      1.4492024
    2691.5252069343350740      1.4512264
    2691.1960108940170358      1.4527514
    2690.8668148536653462      1.4530619
    2690.5376188133800497      1.4539621
    2690.2084227730288148      1.4522794
    2689.8792267327439731      1.4504168
    2689.5500306923918288      1.4521457
    2689.2208346521069871      1.4536272
    2688.8916386117557522      1.4532572
    2688.5624425714372592      1.4515581
    2688.2332465310860243      1.4506578
    2687.9040504908007279      1.4506233
    2687.5748544504494930      1.4496055
    2687.2456584101646513      1.4506612
    2686.9164623698125069      1.4534676
    2686.5872663294944687      1.4540066
    2686.2580702891427791      1.4537597
    2685.9288742488579373      1.4552395
    2685.5996782085062478      1.4570167
    2685.2704821682214060      1.4567900
    2684.9412861278701712      1.4545981
    2684.6120900875516782      1.4545122
    2684.2828940472331851      1.4563465
    2683.9536980069151468      1.4564960
    2683.6245019665634572      1.4546739
    2683.2953059262786155      1.4522474
    2682.9661098859269259      1.4525235
    2682.6369138456420842      1.4542352
    2682.3077178052903946      1.4542980
    2681.9785217649723563      1.4546694
    2681.6493257246206667      1.4555391
    2681.3201296843353703      1.4529057
    2680.9909336439841354      1.4523960
    2680.6617376036992937      1.4558553
    2680.3325415633476041      1.4549960
    2680.0033455230291111      1.4537157
    2679.6741494826778762      1.4539057
    2679.3449534423930345      1.4521803
    2679.0157574020408902      1.4509392
    2678.6865613617560484      1.4519321
    2678.3573653214048136      1.4527717
    2678.0281692810863206      1.4525421
    2677.6989732407682823      1.4527982
    2677.3697772004497892      1.4532989
    2677.0405811600980996      1.4536179
    2676.7113851198137127      1.4536773
    2676.3821890794615683      1.4547944
    2676.0529930391767266      1.4550456
    2675.7237969988254918      1.4547729
    2675.3946009585069987      1.4567564
    2675.0654049181553091      1.4576036
    2674.7362088778704674      1.4559520
    2674.4070128375187778      1.4543809
    2674.0778167971675430      1.4529569
    2673.7486207568822465      1.4526938
    2673.4194247165310117      1.4535536
    2673.0902286762461699      1.4535004
    2672.7610326358940256      1.4524070
    2672.4318365955759873      1.4524004
    2672.1026405552242977      1.4550090
    2671.7734445149394560      1.4558146
    2671.4442484745877664      1.4539720
    2671.1150524343029247      1.4529221
    2670.7858563939512351      1.4521196
    2670.4566603536331968      1.4514781
    2670.1274643132815072      1.4537277
    2669.7982682729962107      1.4565179
    2669.4690722326449759      1.4564024
    2669.1398761923601342      1.4554720
    2668.8106801520084446      1.4533777
    2668.4814841116899515      1.4519752
    2668.1522880713719132      1.4535174
    2667.8230920310538750      1.4554729
    2667.4938959907017306      1.4562764
    2667.1646999504168889      1.4539539
    2666.8355039100656541      1.4507732
    2666.5063078697803576      1.4507554
    2666.1771118294291227      1.4524142
    2665.8479157891106297      1.4530066
    2665.5187197487593949      1.4512310
    2665.1895237084745531      1.4491901
    2664.8603276681224088      1.4517492
